id,date,h_humidity,h_temperature,a_humidity,a_temperature,a_voc,w_temperature,w_alarm
84624,2024-05-30 13:40:47.084968+00:00,None,None,None,None,141,None,True
85346,2024-05-31 00:53:35.915040+00:00,None,None,None,None,141,None,False
86066,2024-05-31 12:09:07.722103+00:00,None,None,None,None,141,None,False
87090,2024-06-04 04:09:51.997484+00:00,None,None,None,None,230,None,False
87970,2024-06-04 17:55:30.418827+00:00,None,None,None,None,230,None,False
88530,2024-06-05 02:40:54.651498+00:00,None,None,None,None,230,None,False
89090,2024-06-05 11:26:18.857106+00:00,None,None,None,None,230,None,False
89650,2024-06-05 20:11:43.190288+00:00,None,None,None,None,230,None,False
90210,2024-06-06 04:57:07.887616+00:00,None,None,None,None,230,None,False
90928,2024-06-06 16:10:26.323911+00:00,None,None,None,None,230,None,False
91488,2024-06-07 00:55:50.783689+00:00,None,None,None,None,230,None,False
92128,2024-06-07 10:57:10.137619+00:00,None,None,None,None,230,None,True
92838,2024-06-07 21:48:12.516554+00:00,None,None,None,None,165,None,True
93478,2024-06-08 07:53:08.184642+00:00,None,None,None,None,151,None,True
94118,2024-06-08 17:53:36.214445+00:00,None,None,None,None,151,None,True
94924,2024-06-09 06:26:20.886298+00:00,None,None,None,None,119,None,True
95558,2024-06-09 16:26:11.770934+00:00,None,None,None,None,103,None,False
96196,2024-06-10 02:26:39.415318+00:00,None,None,None,None,103,None,False
96836,2024-06-10 12:23:17.604095+00:00,None,None,None,None,103,None,False
97396,2024-06-10 21:08:41.603866+00:00,None,None,None,None,103,None,False
97956,2024-06-11 05:54:05.512496+00:00,None,None,None,None,103,None,False
98516,2024-06-11 14:39:29.566744+00:00,None,None,None,None,103,None,False
99076,2024-06-11 23:24:53.807680+00:00,None,None,None,None,103,None,False
99636,2024-06-12 08:10:18.288455+00:00,None,None,None,None,103,None,False
100196,2024-06-12 16:55:42.710853+00:00,None,None,None,None,103,None,False
100756,2024-06-13 01:41:07.093200+00:00,None,None,None,None,103,None,False
101316,2024-06-13 10:23:48.105435+00:00,None,None,None,None,103,None,True
101876,2024-06-13 19:09:12.320717+00:00,None,None,None,None,103,None,True
102436,2024-06-14 03:54:36.719943+00:00,None,None,None,None,103,None,True
102996,2024-06-14 12:41:01.228165+00:00,None,None,None,None,103,None,False
104450,2024-06-15 11:27:04.565305+00:00,None,None,None,None,102,None,False
105176,2024-06-15 22:37:35.548922+00:00,None,None,None,None,102,None,False
105736,2024-06-16 07:22:59.884788+00:00,None,None,None,None,102,None,False
106296,2024-06-16 16:07:50.507970+00:00,None,None,None,None,102,None,False
106856,2024-06-17 00:53:14.659583+00:00,None,None,None,None,102,None,False
107416,2024-06-17 09:38:38.880913+00:00,None,None,None,None,102,None,False
108216,2024-06-17 22:09:13.405405+00:00,None,None,None,None,102,None,False
108776,2024-06-18 06:54:38.017570+00:00,None,None,None,None,102,None,False
109336,2024-06-18 15:40:01.819750+00:00,None,None,None,None,102,None,False
109896,2024-06-19 00:25:25.954649+00:00,None,None,None,None,102,None,False
110456,2024-06-19 09:10:50.286552+00:00,None,None,None,None,102,None,False
111016,2024-06-19 17:56:14.357092+00:00,None,None,None,None,102,None,False
111574,2024-06-20 02:41:38.424994+00:00,None,None,None,None,102,None,False
112540,2024-06-20 17:37:19.094496+00:00,None,None,None,None,102,None,False
113100,2024-06-21 02:22:43.627532+00:00,None,None,None,None,102,None,False
113660,2024-06-21 11:08:07.965547+00:00,None,None,None,None,102,None,False
114706,2024-06-22 03:21:51.957797+00:00,None,None,None,None,108,None,False
115266,2024-06-22 12:06:20.931083+00:00,None,None,None,None,155,None,False
115826,2024-06-22 20:48:46.924165+00:00,None,None,None,None,140,None,False
116386,2024-06-23 05:40:06.284497+00:00,None,None,None,None,141,None,False
116946,2024-06-23 14:23:34.141374+00:00,None,None,None,None,183,None,False
117506,2024-06-23 23:11:06.450341+00:00,None,None,None,None,134,None,False
119202,2024-06-25 01:37:07.701329+00:00,None,None,None,None,13,None,False
119762,2024-06-25 10:22:31.525944+00:00,None,None,None,None,13,None,False
120322,2024-06-25 19:07:55.507764+00:00,None,None,None,None,13,None,False
121122,2024-06-26 07:38:30.284449+00:00,None,None,None,None,222,None,False
122472,2024-06-27 04:37:09.569925+00:00,None,None,None,None,224,None,False
123181,2024-06-27 15:54:59.683998+00:00,None,None,None,None,237,None,False
124525,2024-06-28 12:55:58.005291+00:00,None,None,None,None,243,None,False
125085,2024-06-28 21:41:21.914118+00:00,None,None,None,None,243,None,False
125801,2024-06-29 08:32:42.761308+00:00,None,None,None,None,214,None,False
126599,2024-06-29 21:11:25.718961+00:00,None,None,None,None,173,None,False
127159,2024-06-30 05:52:19.458310+00:00,None,None,None,None,181,None,False
127719,2024-06-30 14:33:12.287444+00:00,None,None,None,None,149,None,False
128609,2024-07-01 04:38:54.431318+00:00,None,None,None,None,21,None,False
129899,2024-07-02 00:54:50.453574+00:00,None,None,None,None,59,None,False
130459,2024-07-02 09:36:27.762457+00:00,None,None,None,None,59,None,False
131019,2024-07-02 18:21:51.934171+00:00,None,None,None,None,59,None,False
131579,2024-07-03 03:07:15.957499+00:00,None,None,None,None,59,None,False
132139,2024-07-03 11:52:40.310664+00:00,None,None,None,None,59,None,False
132779,2024-07-02 21:53:07.859100+00:00,None,None,None,None,59,None,False
133489,2024-07-03 08:47:46.725485+00:00,None,None,None,None,242,None,False
134617,2024-07-04 02:37:35.901582+00:00,None,None,None,None,11,None,False
135177,2024-07-04 11:22:59.687712+00:00,None,None,None,None,11,None,False
135817,2024-07-04 21:23:27.525617+00:00,None,None,None,None,11,None,False
136461,2024-07-05 07:17:27.328431+00:00,None,None,None,None,167,None,False
137591,2024-07-06 01:09:44.451962+00:00,None,None,None,None,82,None,False
138151,2024-07-06 09:55:09.211899+00:00,None,None,None,None,82,None,False
140571,2024-07-07 23:40:23.617912+00:00,None,None,None,None,57,None,False
141211,2024-07-08 09:31:23.947200+00:00,None,None,None,None,100,None,False
141771,2024-07-08 18:22:20.226519+00:00,None,None,None,None,111,None,False
142331,2024-07-09 03:03:47.210636+00:00,None,None,None,None,144,None,False
142891,2024-07-09 11:53:34.504534+00:00,None,None,None,None,169,None,False
143451,2024-07-09 20:38:30.476263+00:00,None,None,None,None,152,None,False
144011,2024-07-10 05:24:32.296753+00:00,None,None,None,None,177,None,False
145219,2024-07-11 00:25:14.751562+00:00,None,None,None,None,175,None,False
146511,2024-07-11 22:21:15.625861+00:00,None,None,None,None,34,None,False
147071,2024-07-12 07:06:39.862154+00:00,None,None,None,None,34,None,False
147790,2024-07-12 18:25:08.554124+00:00,None,None,None,None,107,None,False
148350,2024-07-13 03:08:34.928500+00:00,None,None,None,None,145,None,False
149079,2024-07-13 14:50:37.554692+00:00,None,None,None,None,153,None,False
149637,2024-07-14 00:06:03.183272+00:00,None,None,None,None,153,None,False
150197,2024-07-14 08:51:27.227094+00:00,None,None,None,None,153,None,False
151323,2024-07-15 02:51:51.336480+00:00,None,None,None,None,128,None,False
151883,2024-07-15 11:32:16.374005+00:00,None,None,None,None,186,None,False
152443,2024-07-15 20:21:12.523183+00:00,None,None,None,None,184,None,False
153003,2024-07-16 05:06:04.344038+00:00,None,None,None,None,207,None,False
153563,2024-07-16 13:54:34.127455+00:00,None,None,None,None,226,None,False
154357,2024-07-17 02:24:28.065109+00:00,None,None,None,None,230,None,False
155624,2024-07-17 22:09:59.801522+00:00,None,None,None,None,102,None,False
156184,2024-07-18 06:49:55.947212+00:00,None,None,None,None,177,None,False
13,2024-04-10 10:56:05.792500+00:00,None,None,38.3,22.6,2239,19.8,True
29,2024-04-10 11:06:03.917455+00:00,39.0,22.9,38.5,22.5,89,20.1,True
43,2024-04-03 15:15:50.076974+00:00,39.0,22.8,38.5,22.5,89,25.2,True
61,2024-04-03 15:28:58.635295+00:00,39.0,25.8,44.2,25.0,9585,22.1,True
77,2024-04-03 15:46:08.363936+00:00,34.0,25.7,35.6,25.0,791,19.2,True
93,2024-04-03 16:01:19.998186+00:00,34.0,25.7,33.7,25.0,0,15.8,True
109,2024-04-03 16:10:22.312376+00:00,32.0,25.6,32.0,24.8,11,15.7,True
125,2024-04-03 16:30:28.114358+00:00,32.0,25.4,32.3,24.7,9,15.6,True
141,2024-04-03 16:44:37.792789+00:00,32.0,25.2,32.2,24.5,3,12.8,True
157,2024-04-03 16:59:49.372489+00:00,32.0,25.1,31.2,24.2,0,14.8,False
173,2024-04-03 17:15:58.905499+00:00,32.0,24.8,31.6,23.9,24,17.6,False
189,2024-04-03 17:29:03.412623+00:00,32.0,24.8,33.2,23.9,36,18.8,False
205,2024-04-03 17:38:05.721501+00:00,33.0,24.8,33.4,23.9,51,19.3,False
221,2024-04-03 17:58:06.487016+00:00,33.0,24.7,33.4,24.0,54,19.7,False
237,2024-04-03 18:08:06.857731+00:00,34.0,24.7,33.3,23.9,61,19.6,False
253,2024-04-03 18:28:07.606297+00:00,33.0,24.7,33.4,24.0,53,19.6,False
269,2024-04-03 18:38:08.012849+00:00,34.0,24.7,33.4,24.0,62,19.4,False
285,2024-04-03 18:58:08.785326+00:00,34.0,24.7,33.8,24.0,66,19.4,False
301,2024-04-03 19:08:09.171791+00:00,34.0,24.7,33.9,24.0,65,19.4,False
317,2024-04-03 19:28:09.963648+00:00,34.0,24.7,34.0,24.0,70,19.4,False
331,2024-04-03 19:46:29.143121+00:00,35.0,24.7,34.4,23.9,83,19.4,False
347,2024-04-03 20:01:29.706325+00:00,35.0,24.7,34.3,23.9,74,19.6,False
363,2024-04-03 20:11:30.038201+00:00,35.0,24.7,34.3,23.9,79,19.6,False
379,2024-04-03 20:07:40.118839+00:00,35.0,24.7,34.6,23.9,77,19.4,False
395,2024-04-03 20:28:38.994569+00:00,35.0,24.7,34.8,23.9,87,19.4,False
413,2024-04-03 20:38:39.461957+00:00,35.0,24.7,34.8,23.9,87,19.4,False
429,2024-04-03 21:00:47.016191+00:00,35.0,24.7,34.9,23.9,89,19.4,False
445,2024-04-03 21:10:47.515189+00:00,35.0,24.8,35.2,23.8,82,19.4,False
461,2024-04-03 21:30:48.501812+00:00,35.0,24.8,35.2,23.8,83,19.3,False
477,2024-04-03 21:40:49.000573+00:00,35.0,24.7,35.1,23.8,82,19.4,False
493,2024-04-03 22:00:49.969817+00:00,35.0,24.7,35.2,23.7,62,19.3,False
509,2024-04-03 22:10:50.481819+00:00,35.0,24.7,35.0,23.7,81,19.3,False
525,2024-04-03 22:30:51.420616+00:00,35.0,24.6,34.9,23.7,82,19.4,False
541,2024-04-03 22:40:51.937054+00:00,35.0,24.6,34.8,23.7,79,19.6,False
557,2024-04-03 23:00:52.890352+00:00,35.0,24.6,34.8,23.6,72,19.8,False
575,2024-04-03 23:08:46.467829+00:00,35.0,24.6,34.6,23.6,72,19.7,False
591,2024-04-03 23:28:47.479514+00:00,35.0,24.6,34.7,23.5,71,19.3,False
607,2024-04-03 23:38:47.947240+00:00,35.0,24.5,34.6,23.5,82,19.1,False
623,2024-04-03 23:58:48.820748+00:00,35.0,24.5,34.6,23.5,75,19.2,False
639,2024-04-04 00:08:49.304695+00:00,35.0,24.5,34.6,23.5,76,19.2,False
655,2024-04-04 00:28:50.276487+00:00,35.0,24.4,34.6,23.5,71,19.0,False
671,2024-04-04 00:38:50.720589+00:00,35.0,24.4,34.4,23.5,74,19.1,False
687,2024-04-04 00:58:51.710462+00:00,35.0,24.4,34.3,23.5,68,19.5,False
703,2024-04-04 01:08:52.113871+00:00,35.0,24.4,34.5,23.5,59,19.4,False
719,2024-04-04 01:28:53.108958+00:00,34.0,24.3,34.5,23.4,63,19.1,False
737,2024-04-04 01:38:16.499992+00:00,34.0,24.3,34.5,23.4,63,19.0,False
755,2024-04-04 02:11:42.810464+00:00,34.0,24.3,34.5,23.4,63,19.1,False
771,2024-04-04 02:26:43.338759+00:00,34.0,24.3,34.3,23.4,61,19.3,False
787,2024-04-04 02:41:43.895747+00:00,34.0,24.3,34.2,23.3,52,19.4,False
803,2024-04-04 02:56:44.460651+00:00,34.0,24.2,34.2,23.3,58,19.2,False
819,2024-04-04 03:11:45.051425+00:00,34.0,24.2,34.2,23.3,59,19.2,False
835,2024-04-04 03:26:45.654772+00:00,34.0,24.2,34.3,23.3,50,19.2,False
851,2024-04-04 03:41:46.115457+00:00,34.0,24.2,34.2,23.3,58,19.1,False
867,2024-04-04 03:56:46.615181+00:00,34.0,24.2,34.2,23.3,55,19.1,False
883,2024-04-04 04:11:47.132851+00:00,34.0,24.2,34.2,23.2,57,19.1,False
899,2024-04-04 04:26:47.661527+00:00,34.0,24.1,34.2,23.2,61,19.0,False
915,2024-04-04 04:41:48.143742+00:00,34.0,24.1,34.2,23.2,56,19.0,False
931,2024-04-04 04:56:48.663157+00:00,34.0,24.1,34.2,23.2,49,19.1,False
947,2024-04-04 05:11:49.132354+00:00,34.0,24.1,34.1,23.2,55,18.9,False
963,2024-04-04 05:26:49.692486+00:00,34.0,24.1,34.1,23.2,46,18.9,False
979,2024-04-04 05:41:50.219817+00:00,34.0,24.1,34.1,23.1,49,18.8,False
995,2024-04-04 05:56:50.804062+00:00,34.0,24.0,34.0,23.1,49,18.6,False
1011,2024-04-04 06:11:51.331525+00:00,34.0,24.0,34.0,23.1,53,18.8,False
1027,2024-04-04 06:26:35.178737+00:00,34.0,24.0,34.0,23.1,45,18.8,True
1043,2024-04-04 06:41:35.715697+00:00,33.0,24.0,34.0,23.0,48,19.2,True
1059,2024-04-04 06:56:36.217487+00:00,33.0,24.0,33.4,23.1,22,19.1,True
1075,2024-04-04 07:11:36.714661+00:00,34.0,24.0,33.3,23.1,37,19.3,True
1091,2024-04-04 07:26:37.285464+00:00,37.0,24.1,34.1,23.1,110,19.8,True
1107,2024-04-04 07:41:37.854687+00:00,38.0,24.1,37.1,23.2,212,19.8,True
1123,2024-04-04 07:56:38.404120+00:00,37.0,24.1,37.6,23.2,184,19.5,True
1137,2024-04-04 07:59:37.153630+00:00,36.0,24.2,36.7,23.3,163,19.6,True
1155,2024-04-04 08:26:39.428934+00:00,35.0,24.1,35.5,23.4,127,20.0,True
1171,2024-04-04 08:41:39.959694+00:00,35.0,24.1,35.1,23.4,114,20.1,True
1187,2024-04-04 08:56:40.514190+00:00,35.0,24.2,34.5,23.4,110,19.9,True
1203,2024-04-04 09:11:41.074023+00:00,34.0,24.1,34.3,23.4,95,20.4,True
1219,2024-04-04 09:26:41.609664+00:00,34.0,24.2,34.3,23.4,89,20.5,True
1235,2024-04-04 09:41:42.172013+00:00,36.0,24.2,34.6,23.5,94,20.6,True
1253,2024-04-04 09:59:07.115914+00:00,36.0,24.2,35.0,23.5,99,19.9,True
1269,2024-04-04 10:15:15.745842+00:00,36.0,24.3,35.5,23.5,93,19.4,True
1285,2024-04-04 10:31:26.338394+00:00,36.0,24.3,34.4,23.6,80,19.4,True
1301,2024-04-04 10:44:34.866902+00:00,35.0,24.4,33.8,23.7,67,18.1,True
1317,2024-04-04 11:00:44.475976+00:00,35.0,24.4,33.4,23.7,56,15.5,True
1333,2024-04-04 11:15:53.002681+00:00,32.0,24.4,32.2,23.7,4,18.1,True
1349,2024-04-04 11:27:00.457324+00:00,30.0,24.4,30.0,23.6,39,16.9,True
1365,2024-04-04 11:43:04.094175+00:00,30.0,24.3,30.4,23.7,12,15.9,True
1381,2024-04-04 12:01:08.746237+00:00,30.0,24.2,28.3,23.5,3,16.7,True
1397,2024-04-04 12:16:10.281191+00:00,30.0,24.2,28.6,23.5,29,16.4,True
1413,2024-04-04 12:25:11.631326+00:00,29.0,24.2,27.6,23.5,5,16.7,True
1429,2024-04-04 12:46:14.371396+00:00,28.0,24.1,27.4,23.4,8,17.1,True
1445,2024-04-04 12:56:16.733622+00:00,28.0,24.1,28.7,23.4,33,17.8,True
1461,2024-04-04 13:15:21.461045+00:00,28.0,24.1,27.7,23.4,11,19.0,True
1477,2024-04-04 13:30:25.990209+00:00,29.0,24.0,27.4,23.3,12,19.6,True
1493,2024-04-04 13:40:26.336236+00:00,27.0,24.0,26.5,23.3,10,19.6,True
1509,2024-04-04 13:54:28.870396+00:00,27.0,24.0,25.6,23.3,9,20.1,True
1525,2024-04-04 14:10:32.476188+00:00,27.0,24.0,25.6,23.3,15,20.3,True
1541,2024-04-04 14:25:34.084291+00:00,27.0,23.9,25.3,23.3,3,20.1,True
1557,2024-04-04 14:42:35.746008+00:00,26.0,24.0,25.3,23.3,0,20.1,True
1573,2024-04-04 14:56:37.290995+00:00,26.0,23.9,24.8,23.3,4,19.8,True
1589,2024-04-04 15:15:42.050150+00:00,26.0,23.9,24.5,23.2,1,19.3,True
1605,2024-04-04 15:28:46.534232+00:00,25.0,23.9,24.5,23.3,5,19.8,True
1621,2024-04-04 15:40:49.966400+00:00,26.0,23.9,24.4,23.2,17,19.0,True
1637,2024-04-04 16:00:54.717652+00:00,25.0,23.9,24.3,23.2,0,19.0,True
1653,2024-04-04 16:16:00.297333+00:00,26.0,23.9,24.5,23.2,24,19.1,True
1669,2024-04-04 16:29:04.803910+00:00,26.0,23.9,26.8,23.2,47,19.2,True
1685,2024-04-04 16:42:08.329396+00:00,29.0,24.0,27.6,23.2,94,18.4,True
1701,2024-04-04 16:59:09.972133+00:00,31.0,24.0,30.7,23.3,111,18.1,True
1717,2024-04-04 17:09:10.353248+00:00,30.0,24.3,30.6,23.4,104,18.0,True
1733,2024-04-04 17:29:11.097394+00:00,29.0,24.3,28.5,23.5,81,18.1,True
1749,2024-04-04 17:44:15.720829+00:00,27.0,24.3,27.8,23.5,75,19.4,True
1765,2024-04-04 17:58:20.258264+00:00,28.0,24.3,27.9,23.5,74,18.3,True
1781,2024-04-04 18:08:23.657563+00:00,27.0,24.4,27.3,23.5,40,18.7,True
1797,2024-04-04 18:29:26.460265+00:00,26.0,24.4,25.8,23.5,44,18.1,True
1813,2024-04-04 18:46:29.061486+00:00,26.0,24.3,25.0,23.5,29,18.0,True
1829,2024-04-04 18:59:31.545526+00:00,26.0,24.3,24.7,23.5,20,18.0,True
1845,2024-04-04 19:13:35.070985+00:00,26.0,24.2,24.6,23.4,16,18.3,True
1861,2024-04-04 19:28:39.633769+00:00,26.0,24.1,25.1,23.3,19,18.3,True
1881,2024-04-04 19:41:24.222180+00:00,26.0,24.0,25.3,23.2,27,18.3,True
1897,2024-04-04 19:54:57.899985+00:00,26.0,24.0,25.6,23.2,35,19.3,True
1913,2024-04-04 20:12:20.797911+00:00,27.0,24.0,25.8,23.2,47,19.5,True
1929,2024-04-04 20:22:21.308015+00:00,27.0,24.0,26.8,23.1,44,20.0,True
1945,2024-04-04 20:44:30.453734+00:00,27.0,24.0,26.7,23.1,38,20.5,True
1961,2024-04-04 20:56:57.057967+00:00,27.0,24.0,27.1,23.1,42,20.6,True
1977,2024-04-04 21:13:01.838326+00:00,27.0,24.0,27.4,23.1,40,20.9,True
1993,2024-04-04 21:23:00.310385+00:00,28.0,24.0,27.7,23.1,41,20.8,True
2009,2024-04-04 21:43:01.344239+00:00,28.0,24.0,27.7,23.1,42,20.9,True
2025,2024-04-04 21:53:01.819667+00:00,28.0,24.0,27.9,23.1,44,20.9,True
2041,2024-04-04 22:11:04.854815+00:00,28.0,24.0,27.9,23.1,34,20.7,True
2057,2024-04-04 22:30:57.737106+00:00,28.0,23.9,28.0,23.1,38,20.5,True
2073,2024-04-04 22:40:58.248992+00:00,28.0,24.0,28.1,23.1,37,20.6,True
2089,2024-04-04 23:00:59.245024+00:00,28.0,23.9,28.2,23.1,29,20.8,True
2105,2024-04-04 23:06:37.638040+00:00,29.0,23.9,28.2,23.1,39,20.5,True
2121,2024-04-04 23:26:34.435239+00:00,29.0,24.0,28.3,23.1,37,20.4,True
2137,2024-04-04 23:36:34.903615+00:00,29.0,23.9,28.3,23.1,39,20.3,True
2153,2024-04-04 23:56:35.916108+00:00,29.0,23.9,28.4,23.1,36,20.1,True
2169,2024-04-05 00:06:36.369378+00:00,29.0,23.9,28.4,23.0,37,19.6,True
2185,2024-04-05 00:26:37.376261+00:00,29.0,23.9,28.5,23.0,38,19.7,True
2201,2024-04-05 00:43:42.442902+00:00,29.0,23.9,28.6,23.0,34,19.3,True
2217,2024-04-05 00:59:43.268005+00:00,29.0,23.9,28.6,23.0,45,18.6,True
2233,2024-04-05 01:09:13.770311+00:00,29.0,23.8,28.7,23.0,45,17.8,True
2249,2024-04-05 01:29:08.652084+00:00,29.0,23.8,28.8,23.0,46,18.4,True
2265,2024-04-05 01:39:09.131736+00:00,29.0,23.8,28.9,22.9,45,18.3,True
2281,2024-04-05 01:52:46.807305+00:00,29.0,23.8,29.0,23.0,49,18.7,True
2297,2024-04-05 02:12:47.817510+00:00,29.0,23.7,29.1,23.0,46,18.9,True
2313,2024-04-05 02:22:48.253907+00:00,29.0,23.7,29.1,22.9,42,19.1,True
2329,2024-04-05 02:42:49.207365+00:00,29.0,23.6,29.2,22.8,45,19.1,True
2345,2024-04-05 02:54:19.091192+00:00,29.0,23.6,29.3,22.8,46,19.1,True
2361,2024-04-05 03:14:19.818486+00:00,29.0,23.5,29.3,22.8,36,19.0,True
2377,2024-04-05 03:24:20.300244+00:00,29.0,23.5,29.3,22.7,44,19.0,True
2393,2024-04-05 03:44:21.363647+00:00,29.0,23.5,29.4,22.7,42,19.1,True
2409,2024-04-05 03:58:52.347119+00:00,30.0,23.5,29.4,22.7,42,18.7,True
2425,2024-04-05 04:07:22.774630+00:00,30.0,23.4,29.4,22.7,30,19.4,True
2441,2024-04-05 04:27:17.473971+00:00,30.0,23.4,29.4,22.7,32,19.2,True
2457,2024-04-05 04:37:18.000780+00:00,30.0,23.4,29.5,22.7,31,19.2,True
2473,2024-04-05 04:57:19.023493+00:00,30.0,23.4,29.4,22.7,30,17.9,True
2489,2024-04-05 05:07:19.515729+00:00,30.0,23.4,29.5,22.7,28,19.0,True
2505,2024-04-05 05:27:20.557132+00:00,30.0,23.3,29.4,22.6,20,19.8,True
2521,2024-04-05 05:37:21.093604+00:00,30.0,23.3,29.4,22.6,17,19.8,True
2537,2024-04-05 05:57:22.120213+00:00,30.0,23.3,29.5,22.6,14,20.1,True
2553,2024-04-05 06:07:22.680913+00:00,30.0,23.3,29.5,22.6,13,20.0,True
